interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;300.00;edge_data_300sec_freq;0;13.34;0;56;85562608#1;0;0;4.45;51;2.22;11.54;599.21;13.41;1.00;0.00;11.16;0.00
0.00;300.00;edge_data_300sec_freq;0;4.45;0;20;85644918#1;0;0;1.48;17;0.74;5.06;87.24;13.90;1.00;0.00;4.70;0.00
0.00;300.00;edge_data_300sec_freq;0;5.13;0;23;85644921#1;0;0;2.57;20;1.28;8.19;167.68;13.90;1.00;0.00;7.83;0.00
0.00;300.00;edge_data_300sec_freq;0;26.83;0;113;85644942#1;0;0;8.94;102;4.47;10.91;1135.74;13.39;1.00;1.47;10.53;0.00
0.00;300.00;edge_data_300sec_freq;0;5.99;0;27;85644955#1;0;0;2.99;23;1.50;8.27;197.39;13.90;1.00;0.01;7.91;0.00
0.00;300.00;edge_data_300sec_freq;0;10.04;0;45;87297164#0;0;0;10.04;39;5.02;15.47;628.18;13.80;1.00;0.00;15.11;0.00
0.00;300.00;edge_data_300sec_freq;0;8.71;0;37;87297164#13;0;0;8.71;35;4.36;7.96;274.12;13.80;1.00;0.00;7.60;0.00
0.00;300.00;edge_data_300sec_freq;0;8.28;0;35;87297164#18;0;0;8.28;34;4.14;7.93;259.21;13.80;1.00;0.00;7.56;0.00
0.00;300.00;edge_data_300sec_freq;0;8.21;0;34;87297164#22;0;0;8.21;34;4.11;7.69;249.29;13.80;1.00;0.00;7.33;0.00
0.00;300.00;edge_data_300sec_freq;0;8.21;0;34;87297164#24;0;0;8.21;34;4.11;2.46;71.43;13.80;1.00;0.00;2.10;0.00
0.00;300.00;edge_data_300sec_freq;0;9.17;0;39;87297164#7;0;0;9.17;37;4.58;7.95;288.16;13.80;1.00;0.02;7.59;0.00
0.00;300.00;edge_data_300sec_freq;0;271.02;0;175;87297168#0;0;0;90.34;168;45.17;10.15;1343.17;2.12;0.19;1088.52;7.79;0.00
0.00;300.00;edge_data_300sec_freq;0;277.34;0;168;87297168#1;0;0;92.45;162;46.22;9.45;1149.86;1.99;0.18;945.07;6.94;0.00
0.00;300.00;edge_data_300sec_freq;0;29.40;0;125;88142687#1;0;0;14.70;111;7.35;20.58;2390.81;13.41;1.00;0.00;20.21;0.00
0.00;300.00;edge_data_300sec_freq;0;57.59;0;238;88142688;0;0;28.80;226;14.40;13.30;2996.37;13.41;1.00;0.00;12.93;0.00
0.00;300.00;edge_data_300sec_freq;0;20.88;0;71;88142690#1;0;0;10.44;69;5.22;8.50;563.91;11.18;1.00;0.02;8.05;0.00
0.00;300.00;edge_data_300sec_freq;0;20.16;0;69;88142690#3;0;0;10.08;66;5.04;9.32;599.84;11.18;1.00;0.00;8.87;0.00
0.00;300.00;edge_data_300sec_freq;0;19.67;0;66;88142690#4;0;0;9.84;66;4.92;1.40;62.96;11.18;1.00;0.00;0.95;0.00
0.00;300.00;edge_data_300sec_freq;0;19.68;0;66;88142690#5;0;0;9.84;66;4.92;1.43;64.94;11.18;1.00;0.01;0.98;0.00
0.00;300.00;edge_data_300sec_freq;0;19.37;0;66;88142690#6;0;0;9.69;64;4.84;8.31;511.14;11.18;1.00;0.02;7.87;0.00
0.00;300.00;edge_data_300sec_freq;0;39.93;0;166;88396406#1;0;0;39.93;161;19.97;7.89;1231.81;13.67;0.99;11.95;7.52;0.00
0.00;300.00;edge_data_300sec_freq;0;38.38;0;161;88396406#2;0;0;38.38;156;19.19;8.24;1252.00;13.80;1.00;0.05;7.88;0.00
0.00;300.00;edge_data_300sec_freq;0;37.21;0;156;88396406#5;0;0;37.21;152;18.60;7.89;1159.27;13.80;1.00;0.00;7.52;0.00
0.00;300.00;edge_data_300sec_freq;0;4.62;0;20;88463826#1;0;0;1.54;17;0.77;7.52;133.04;13.41;1.00;0.01;7.15;0.00
0.00;300.00;edge_data_300sec_freq;0;10.16;0;43;8916867;0;0;2.54;41;1.27;7.60;304.25;13.80;1.00;0.00;7.23;0.00
0.00;300.00;edge_data_300sec_freq;0;6.44;0;29;8916973#0;0;0;2.15;23;1.07;9.10;226.02;13.41;1.00;0.00;8.72;0.00
0.00;300.00;edge_data_300sec_freq;0;5.71;0;23;8916973#1;0;0;1.90;23;0.95;1.29;21.07;13.42;1.00;0.00;0.92;0.00
0.00;300.00;edge_data_300sec_freq;0;82.74;173;93;8918949#0;0;0;41.37;264;20.68;1.58;293.64;10.68;0.77;66.35;1.11;0.00
0.00;300.00;edge_data_300sec_freq;0;60.46;0;248;8922283;0;0;30.23;238;15.11;11.62;2735.59;13.41;1.00;0.34;11.25;0.00
