interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;300.00;edge_data_300sec_freq;0;165.78;0;121;-706549349#0;0;0;82.89;89;41.44;47.55;5233.46;2.32;0.21;4148.36;45.40;0.00
0.00;300.00;edge_data_300sec_freq;0;122.36;64;60;-706549349#1;0;0;61.18;121;30.59;5.32;470.95;3.35;0.30;329.71;3.83;0.00
0.00;300.00;edge_data_300sec_freq;23;11.95;0;25;-769489484#4;0;0;11.95;0;5.97;15.44;361.15;6.85;1.00;0.00;14.71;0.00
0.00;300.00;edge_data_300sec_freq;0;12.55;0;54;-87376675#0;0;0;6.28;51;3.14;10.84;548.69;13.90;1.00;0.00;10.48;0.00
0.00;300.00;edge_data_300sec_freq;0;92.11;0;57;142961048#1;0;0;92.11;50;46.05;54.92;2888.20;1.99;0.14;2470.81;52.41;0.00
0.00;300.00;edge_data_300sec_freq;0;9.99;0;21;143666209#1;0;0;9.99;14;5.00;18.33;314.81;6.00;0.88;38.96;17.50;0.00
0.00;300.00;edge_data_300sec_freq;0;8.45;0;35;148846995#0;0;0;4.23;35;2.11;5.05;164.01;13.80;1.00;0.02;4.69;0.00
0.00;300.00;edge_data_300sec_freq;0;18.34;0;62;148874364#5;0;0;9.17;61;4.59;3.52;188.80;11.18;1.00;0.01;3.07;0.00
0.00;300.00;edge_data_300sec_freq;0;1.50;0;9;167952615;0;0;0.50;6;0.25;9.29;63.08;15.65;1.00;0.00;8.97;0.00
0.00;300.00;edge_data_300sec_freq;0;24.92;0;105;198877615#1;0;0;24.92;101;12.46;11.02;1099.58;13.80;1.00;0.00;10.66;0.00
0.00;300.00;edge_data_300sec_freq;0;23.91;0;101;198877615#3;0;0;23.91;97;11.96;11.40;1092.40;13.80;1.00;0.05;11.04;0.00
0.00;300.00;edge_data_300sec_freq;0;154.25;0;138;204967525#1;0;0;77.13;116;38.56;53.67;6770.23;2.82;0.25;5063.19;51.90;0.00
0.00;300.00;edge_data_300sec_freq;0;122.66;0;82;204968628#0;0;0;61.33;78;30.67;10.68;682.26;2.20;0.16;574.08;8.41;0.00
0.00;300.00;edge_data_300sec_freq;0;10.32;0;43;224199013#0;0;0;5.16;42;2.58;3.62;139.36;13.80;1.00;0.00;3.26;0.00
0.00;300.00;edge_data_300sec_freq;0;11.24;0;47;224199014#1;0;0;5.62;46;2.81;4.08;173.21;13.80;1.00;0.00;3.72;0.00
0.00;300.00;edge_data_300sec_freq;0;9.08;0;40;225847527#1;0;0;9.08;35;4.54;10.92;396.64;13.80;1.00;0.00;10.55;0.00
0.00;300.00;edge_data_300sec_freq;0;7.92;0;35;225847529#1;0;0;7.92;30;3.96;10.93;346.56;13.80;1.00;0.01;10.57;0.00
0.00;300.00;edge_data_300sec_freq;0;25.56;0;107;23157849#0;0;0;25.56;105;12.78;10.99;1124.32;13.80;1.00;0.04;10.62;0.00
0.00;300.00;edge_data_300sec_freq;0;23.71;0;100;24335489#1;0;0;7.90;91;3.95;13.84;1284.54;13.41;1.00;0.00;13.47;0.00
0.00;300.00;edge_data_300sec_freq;0;21.93;0;91;24335489#2;0;0;7.31;86;3.65;8.11;682.75;13.41;1.00;0.02;7.74;0.00
0.00;300.00;edge_data_300sec_freq;0;14.31;0;48;254299113#1;0;0;7.16;48;3.58;13.58;630.38;11.18;1.00;0.00;13.13;0.00
0.00;300.00;edge_data_300sec_freq;0;45.71;0;125;254299113#4;0;0;22.85;125;11.43;16.67;2014.79;9.12;0.82;371.91;16.12;0.00
0.00;300.00;edge_data_300sec_freq;0;145.10;0;125;254299113#7;0;0;72.55;84;36.27;53.77;6008.72;2.66;0.24;4579.04;51.89;0.00
0.00;300.00;edge_data_300sec_freq;0;9.04;0;36;254299125#1;0;0;9.04;31;4.52;12.18;397.06;12.44;0.90;39.21;11.78;0.00
0.00;300.00;edge_data_300sec_freq;0;11.19;0;39;254299128#1;0;0;11.19;36;5.59;9.85;352.64;11.18;1.00;0.00;9.40;0.00
0.00;300.00;edge_data_300sec_freq;0;8.72;0;37;254466695#0;0;0;2.18;34;1.09;11.24;381.43;13.41;1.00;0.02;10.87;0.00
0.00;300.00;edge_data_300sec_freq;0;7.54;0;31;254758121#1;0;0;7.54;30;3.77;7.72;225.53;13.56;0.98;3.89;7.35;0.00
0.00;300.00;edge_data_300sec_freq;0;10.09;0;45;255168048#1;0;0;10.09;38;5.05;11.00;444.28;13.79;1.00;0.29;10.64;0.00
0.00;300.00;edge_data_300sec_freq;0;13.67;0;27;255168048#12;0;0;13.67;12;6.83;23.38;420.33;4.60;0.33;280.23;22.29;0.00
0.00;300.00;edge_data_300sec_freq;0;23.47;0;12;255168048#14;0;0;23.47;10;11.73;12.18;101.94;1.60;0.12;90.13;9.06;0.00
0.00;300.00;edge_data_300sec_freq;0;8.89;0;38;255168048#6;0;0;8.89;27;4.44;13.30;391.06;11.41;0.83;67.76;12.86;0.00
0.00;300.00;edge_data_300sec_freq;0;18.68;0;64;255330035#2;0;0;9.34;61;4.67;9.78;584.94;11.18;1.00;0.00;9.34;0.00
0.00;300.00;edge_data_300sec_freq;0;11.84;0;50;262943781#1;0;0;5.92;48;2.96;7.78;363.88;13.80;1.00;0.00;7.42;0.00
0.00;300.00;edge_data_300sec_freq;0;8.15;0;34;26938418#1;0;0;8.15;33;4.07;6.20;196.84;13.80;1.00;0.01;5.84;0.00
0.00;300.00;edge_data_300sec_freq;0;7.73;0;33;26938418#5;0;0;7.73;32;3.87;7.73;235.79;13.80;1.00;0.01;7.37;0.00
0.00;300.00;edge_data_300sec_freq;0;7.57;0;32;26938418#8;0;0;7.57;31;3.78;7.42;221.11;13.80;1.00;0.00;7.06;0.00
0.00;300.00;edge_data_300sec_freq;0;65.26;0;93;26988007#2;0;0;65.26;84;32.63;24.32;2064.58;4.54;0.33;1385.16;23.22;0.00
0.00;300.00;edge_data_300sec_freq;0;59.08;75;0;27054184#0;0;0;59.08;73;29.54;4.70;259.31;4.18;0.61;101.18;3.50;0.00
0.00;300.00;edge_data_300sec_freq;0;65.88;0;73;27054184#1;0;0;65.88;68;32.94;11.06;692.77;3.62;0.53;326.48;9.68;0.00
0.00;300.00;edge_data_300sec_freq;0;10.72;0;45;27054205#1;0;0;2.68;44;1.34;5.19;214.40;13.80;1.00;0.00;4.83;0.00
0.00;300.00;edge_data_300sec_freq;0;54.69;114;0;27570786#5;0;0;54.69;111;27.34;8.18;833.26;6.82;1.00;3.24;7.44;0.00
0.00;300.00;edge_data_300sec_freq;0;24.44;0;103;27570802#1;0;0;24.44;99;12.22;11.01;1077.63;13.80;1.00;0.05;10.65;0.00
0.00;300.00;edge_data_300sec_freq;0;23.47;0;99;27570802#4;0;0;23.47;93;11.74;18.95;1781.83;13.62;0.99;23.41;18.58;0.00
